# Datenexport DiDok 3.0
# Verkehrspunktelemente actual date
# Erstellt am: 30.03.2020 23:04:08
# Bei Fragen zu den Daten wenden Sie sich an Fachstelle DiDok <didok@sbb.ch>
# (c) Fachstelle DiDok
############################################################################
SLOID;DS_NUMMER;DS_LAENDERCODE;GUELTIG_VON;GUELTIG_BIS;BEZEICHNUNG;BEZEICHNUNG_BETRIEBLICH;LAENGE;KANTENHOEHE;KOMPASSRICHTUNG;BPVE_ID;BPVE_TYPE;HALTEBEREICH_TYPE;E_LV95;N_LV95;Z_LV95;E_LV03;N_LV03;Z_LV03;E_WGS84;N_WGS84;Z_WGS84;DIDOK_CODE;GEAENDERT_AM;DS_SLOID;DS_BEZEICHNUNG_OFFIZIELL;DS_GO_IDENTIFIKATION;DS_GO_NUMMER;DS_GO_ABKUERZUNG_DE;DS_GO_ABKUERZUNG_FR;DS_GO_ABKUERZUNG_IT;DS_GO_ABKUERZUNG_EN
ch:1:sloid:4815:0:794101;4815;85;2020-01-06;2099-12-31;;avve01;36;15;42;;0;0;2497759.34;1124383.32;-9999;497760.0;124383.0;-9999;6.11252776;46.26308356;-9999;85048157;2019-12-06 08:03:39;ch:1:sloid:4815;Ferney, Avenue de Vessy;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:4815:0:539909;4815;85;2020-01-06;2099-12-31;;avve00;15;22;222;;0;0;2497753.34;1124382.32;-9999;497754.0;124382.0;-9999;6.11245017;46.26307366;-9999;85048157;2019-12-06 08:03:38;ch:1:sloid:4815;Ferney, Avenue de Vessy;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:91825:1:50;91825;85;2019-07-21;2099-12-31;;50;;19;320;ch:1:sloid:91825:1;0;0;2690643;1246290;-9999;690642.13;246290.18;-9999;8.63853562;47.36122169;-9999;85918250;2020-02-13 09:22:06;ch:1:sloid:91825;Benglen, Bodenacher;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:91825:1;91825;85;2019-07-21;2099-12-31;Bus 703,704,705;;;;;;1;0;;;;;;;;;;85918250;2019-07-24 07:35:02;ch:1:sloid:91825;Benglen, Bodenacher;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90611:1:51;90611;85;2019-07-21;2099-12-31;;51;;9;41;ch:1:sloid:90611:1;0;0;2690912;1247340;-9999;690911.12;247340.16;-9999;8.64230923;47.37062751;-9999;85906115;2020-02-13 07:47:53;ch:1:sloid:90611;Fällanden, Wigarten;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90611:1:50;90611;85;2019-07-21;2099-12-31;;50;;9;120;ch:1:sloid:90611:1;0;0;2690858;1247414;-9999;690857.12;247414.16;-9999;8.64160939;47.37130046;-9999;85906115;2020-02-13 07:47:50;ch:1:sloid:90611;Fällanden, Wigarten;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90611:1;90611;85;2019-07-21;2099-12-31;Bus 743,744,745;;;;;;1;0;;;;;;;;;;85906115;2019-07-24 07:08:28;ch:1:sloid:90611;Fällanden, Wigarten;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90607:1:51;90607;85;2019-07-21;2099-12-31;;51;;11;200;ch:1:sloid:90607:1;0;0;2691061;1247975;-9999;691060.11;247975.15;-9999;8.64441088;47.37631762;-9999;85906073;2020-02-13 07:47:32;ch:1:sloid:90607;Fällanden, Industrie;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90607:1:50;90607;85;2019-07-21;2099-12-31;;50;;11;36;ch:1:sloid:90607:1;0;0;2691045;1247912;-9999;691044.11;247912.15;-9999;8.64418623;47.37575326;-9999;85906073;2020-02-13 07:47:30;ch:1:sloid:90607;Fällanden, Industrie;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90607:1;90607;85;2019-07-21;2099-12-31;Bus 704,705;;;;;;1;0;;;;;;;;;;85906073;2019-07-24 07:08:22;ch:1:sloid:90607;Fällanden, Industrie;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90606:1:51;90606;85;2019-07-21;2099-12-31;;51;;17;220;ch:1:sloid:90606:1;0;0;2690734;1247461;-9999;690733.12;247461.16;-9999;8.63997739;47.37174023;-9999;85906065;2020-02-13 07:47:23;ch:1:sloid:90606;Fällanden, Gemeindehaus;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90606:2:81;90606;85;2019-07-21;2099-12-31;;81;;;0;ch:1:sloid:90606:2;0;0;2690790;1247315;-9999;690789.12;247315.16;-9999;8.64068912;47.37041951;-9999;85906065;2020-02-13 07:47:27;ch:1:sloid:90606;Fällanden, Gemeindehaus;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90606:2:80;90606;85;2019-07-21;2099-12-31;;80;;;0;ch:1:sloid:90606:2;0;0;2690802;1247307;-9999;690801.12;247307.16;-9999;8.64084635;47.37034591;-9999;85906065;2020-02-13 07:47:25;ch:1:sloid:90606;Fällanden, Gemeindehaus;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90606:1:50;90606;85;2019-07-21;2099-12-31;;50;;17;37;ch:1:sloid:90606:1;0;0;2690757;1247473;-9999;690756.12;247473.16;-9999;8.6402843;47.37184498;-9999;85906065;2020-02-13 07:47:20;ch:1:sloid:90606;Fällanden, Gemeindehaus;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90606:2;90606;85;2019-07-21;2099-12-31;Baustelle Fälland;;;;;;1;0;;;;;;;;;;85906065;2019-07-24 07:08:20;ch:1:sloid:90606;Fällanden, Gemeindehaus;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90606:1;90606;85;2019-07-21;2099-12-31;Bus 704,705,743-4;;;;;;1;0;;;;;;;;;;85906065;2019-07-24 07:08:19;ch:1:sloid:90606;Fällanden, Gemeindehaus;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90612:1:51;90612;85;2019-07-21;2099-12-31;;51;;18;317;ch:1:sloid:90612:1;0;0;2690410;1247558;-9999;690409.12;247558.16;-9999;8.63570776;47.3726571;-9999;85906123;2020-02-13 07:47:58;ch:1:sloid:90612;Fällanden, Zil;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90612:1:50;90612;85;2019-07-21;2099-12-31;;50;;12;135;ch:1:sloid:90612:1;0;0;2690441;1247515;-9999;690440.12;247515.16;-9999;8.63610947;47.37226614;-9999;85906123;2020-02-13 07:47:56;ch:1:sloid:90612;Fällanden, Zil;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90612:1;90612;85;2019-07-21;2099-12-31;Bus 743,744,745;;;;;;1;0;;;;;;;;;;85906123;2019-07-24 07:08:29;ch:1:sloid:90612;Fällanden, Zil;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90605:1:51;90605;85;2019-07-21;2099-12-31;;51;;;294;ch:1:sloid:90605:1;0;0;2690393;1247418;-9999;690392.12;247418.16;-9999;8.63545444;47.37140039;-9999;85906057;2020-02-13 07:47:18;ch:1:sloid:90605;Fällanden, Eggler;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90605:1:50;90605;85;2019-07-21;2099-12-31;;50;;13;108;ch:1:sloid:90605:1;0;0;2690287;1247451;-9999;690286.12;247451.16;-9999;8.63405784;47.3717117;-9999;85906057;2020-02-13 07:47:15;ch:1:sloid:90605;Fällanden, Eggler;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:90605:1;90605;85;2019-07-21;2099-12-31;Bus 704,705,744;;;;;;1;0;;;;;;;;;;85906057;2019-07-24 07:08:18;ch:1:sloid:90605;Fällanden, Eggler;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76201:1:81;76201;85;2019-07-21;2099-12-31;;81;;;0;ch:1:sloid:76201:1;0;0;2685174;1244498;-9999;685173.12;244498.19;-9999;8.56580787;47.34583502;-9999;85762013;2020-02-13 06:49:49;ch:1:sloid:76201;Zollikon, Bahnübergang;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76201:1:50;76201;85;2019-07-21;2099-12-31;;50;;11;112;ch:1:sloid:76201:1;0;0;2685193;1244501;-9999;685192.12;244501.19;-9999;8.56605985;47.34585955;-9999;85762013;2020-02-13 06:49:45;ch:1:sloid:76201;Zollikon, Bahnübergang;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76201:1:51;76201;85;2019-07-21;2099-12-31;;51;;9;294;ch:1:sloid:76201:1;0;0;2685168;1244522;-9999;685167.12;244522.19;-9999;8.56573304;47.34605164;-9999;85762013;2020-02-13 06:49:47;ch:1:sloid:76201;Zollikon, Bahnübergang;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76201:1;76201;85;2019-07-21;2099-12-31;Bus 910,912,916;;;;;;1;0;;;;;;;;;;85762013;2019-07-24 06:47:28;ch:1:sloid:76201;Zollikon, Bahnübergang;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76202:1:51;76202;85;2019-07-21;2099-12-31;;51;;5;300;ch:1:sloid:76202:1;0;0;2685452;1244230;-9999;685451.12;244230.18;-9999;8.56943528;47.34338881;-9999;85762021;2020-02-13 06:49:55;ch:1:sloid:76202;Zollikon, Felbenstrasse;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76202:1:50;76202;85;2019-07-21;2099-12-31;;50;;3;146;ch:1:sloid:76202:1;0;0;2685481;1244184;-9999;685480.12;244184.18;-9999;8.56981021;47.34297136;-9999;85762021;2020-02-13 06:49:52;ch:1:sloid:76202;Zollikon, Felbenstrasse;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76202:1;76202;85;2019-07-21;2099-12-31;Bus 910,912,916;;;;;;1;0;;;;;;;;;;85762021;2019-07-24 06:47:30;ch:1:sloid:76202;Zollikon, Felbenstrasse;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76183:1:50;76183;85;2019-07-21;2099-12-31;;50;;3;175;ch:1:sloid:76183:1;0;0;2685291;1244121;-9999;685290.12;244121.18;-9999;8.56728427;47.34242938;-9999;85761833;2020-02-13 06:47:03;ch:1:sloid:76183;Zollikon, Seestrasse;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76183:1;76183;85;2019-07-21;2099-12-31;Bus 910;;;;;;1;0;;;;;;;;;;85761833;2019-07-24 06:46:50;ch:1:sloid:76183;Zollikon, Seestrasse;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76185:1:51;76185;85;2019-07-21;2099-12-31;;51;;17;251;ch:1:sloid:76185:1;0;0;2685940;1243943;-9999;685939.13;243943.19;-9999;8.57583717;47.34074428;-9999;85761858;2020-02-13 06:47:16;ch:1:sloid:76185;Zollikon, Gemeindehaus;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76185:1:50;76185;85;2019-07-21;2099-12-31;;50;;17;69;ch:1:sloid:76185:1;0;0;2685959;1243945;-9999;685958.13;243945.19;-9999;8.57608894;47.34075979;-9999;85761858;2020-02-13 06:47:13;ch:1:sloid:76185;Zollikon, Gemeindehaus;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76185:1;76185;85;2019-07-21;2099-12-31;Bus 910;;;;;;1;0;;;;;;;;;;85761858;2019-07-24 06:46:53;ch:1:sloid:76185;Zollikon, Gemeindehaus;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76184:1:91;76184;85;2019-07-21;2099-12-31;;91;;;340;ch:1:sloid:76184:1;0;0;2685496;1243596;-9999;685495.13;243596.17;-9999;8.56989652;47.33768129;-9999;85761841;2020-02-13 06:47:11;ch:1:sloid:76184;Zollikon, Bahnhof;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76184:1:50;76184;85;2019-07-21;2099-12-31;;50;;12;153;ch:1:sloid:76184:1;0;0;2685495;1243584;-9999;685494.13;243584.17;-9999;8.569881;47.33757349;-9999;85761841;2020-02-13 06:47:06;ch:1:sloid:76184;Zollikon, Bahnhof;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76184:1:90;76184;85;2019-07-21;2099-12-31;;90;;;153;ch:1:sloid:76184:1;0;0;2685494;1243583;-9999;685493.13;243583.17;-9999;8.56986758;47.33756463;-9999;85761841;2020-02-13 06:47:08;ch:1:sloid:76184;Zollikon, Bahnhof;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76184:1;76184;85;2019-07-21;2099-12-31;Bus 910;;;;;;1;0;;;;;;;;;;85761841;2019-07-24 06:46:51;ch:1:sloid:76184;Zollikon, Bahnhof;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76203:1:50;76203;85;2019-07-21;2099-12-31;;50;;10;42;ch:1:sloid:76203:1;0;0;2685702;1243855;-9999;685701.13;243855.18;-9999;8.57267142;47.33998384;-9999;85762039;2020-02-13 06:49:58;ch:1:sloid:76203;Zollikon, Dufourplatz;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76203:3:53;76203;85;2019-07-21;2099-12-31;;53;;;0;ch:1:sloid:76203:3;0;0;2685736;1243895;-9999;685735.13;243895.18;-9999;8.57312891;47.34033915;-9999;85762039;2020-02-13 06:50:05;ch:1:sloid:76203;Zollikon, Dufourplatz;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76203:2:52;76203;85;2019-07-21;2099-12-31;;52;;10;155;ch:1:sloid:76203:2;0;0;2685703;1243884;-9999;685702.13;243884.18;-9999;8.5726902;47.34024452;-9999;85762039;2020-02-13 06:50:02;ch:1:sloid:76203;Zollikon, Dufourplatz;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76203:2:51;76203;85;2019-07-21;2099-12-31;;51;;9;305;ch:1:sloid:76203:2;0;0;2685687;1243919;-9999;685686.13;243919.18;-9999;8.5724852;47.34056136;-9999;85762039;2020-02-13 06:50:00;ch:1:sloid:76203;Zollikon, Dufourplatz;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76203:3;76203;85;2019-07-21;2099-12-31;Bus 77, 910;;;;;;1;0;;;;;;;;;;85762039;2019-07-24 06:47:33;ch:1:sloid:76203;Zollikon, Dufourplatz;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76203:2;76203;85;2019-07-21;2099-12-31;Bus 910,912,916;;;;;;1;0;;;;;;;;;;85762039;2019-07-24 06:47:32;ch:1:sloid:76203;Zollikon, Dufourplatz;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76203:1;76203;85;2019-07-21;2099-12-31;Bus 910;;;;;;1;0;;;;;;;;;;85762039;2019-07-24 06:47:31;ch:1:sloid:76203;Zollikon, Dufourplatz;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76204:1:51;76204;85;2019-07-21;2099-12-31;;51;;12;289;ch:1:sloid:76204:1;0;0;2685912;1243466;-9999;685911.14;243466.18;-9999;8.57537528;47.33645807;-9999;85762047;2020-02-13 06:50:10;ch:1:sloid:76204;Zollikon, Beugi;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76204:1:50;76204;85;2019-07-21;2099-12-31;;50;;10;109;ch:1:sloid:76204:1;0;0;2685894;1243462;-9999;685893.14;243462.18;-9999;8.57513638;47.33642444;-9999;85762047;2020-02-13 06:50:07;ch:1:sloid:76204;Zollikon, Beugi;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76204:1;76204;85;2019-07-21;2099-12-31;Bus 912,916;;;;;;1;0;;;;;;;;;;85762047;2019-07-24 06:47:35;ch:1:sloid:76204;Zollikon, Beugi;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76186:1:51;76186;85;2019-07-21;2099-12-31;;51;;10;285;ch:1:sloid:76186:1;0;0;2686363;1243857;-9999;686362.13;243857.19;-9999;8.58141721;47.33991557;-9999;85761866;2020-02-13 06:47:21;ch:1:sloid:76186;Zollikon, Höhestrasse;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76186:1:50;76186;85;2019-07-21;2099-12-31;;50;;12;107;ch:1:sloid:76186:1;0;0;2686328;1243856;-9999;686327.13;243856.19;-9999;8.58095395;47.33991116;-9999;85761866;2020-02-13 06:47:18;ch:1:sloid:76186;Zollikon, Höhestrasse;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:76186:1;76186;85;2019-07-21;2099-12-31;Bus 910;;;;;;1;0;;;;;;;;;;85761866;2019-07-24 06:46:54;ch:1:sloid:76186;Zollikon, Höhestrasse;100648;849;VBZ;VBZ;VBZ;VBZ
ch:1:sloid:3174:1:50;3174;85;2019-07-21;2099-12-31;;50;;9;160;ch:1:sloid:3174:1;0;0;2696418;1237791;-9999;696417.14;237791.18;-9999;8.71314326;47.28396886;-9999;85031740;2020-02-13 06:00:28;ch:1:sloid:3174;Esslingen, Oberesslingen;100637;838;VZO;VZO;VZO;VZO
ch:1:sloid:3174:1:51;3174;85;2020-01-22;2099-12-31;;51;;10;337;ch:1:sloid:3174:1;0;0;2696397;1237875;-9999;696396.14;237875.18;-9999;8.71288375;47.28472736;-9999;85031740;2020-02-13 06:00:32;ch:1:sloid:3174;Esslingen, Oberesslingen;100637;838;VZO;VZO;VZO;VZO
ch:1:sloid:3174:1;3174;85;2019-07-21;2099-12-31;Bus 840,842;;;;;;1;0;;;;;;;;;;85031740;2019-07-24 06:22:48;ch:1:sloid:3174;Esslingen, Oberesslingen;100637;838;VZO;VZO;VZO;VZO
ch:1:sloid:3062:1:0;3062;85;2019-07-21;2099-12-31;;0;;;334;ch:1:sloid:3062:1;0;0;2694586;1239759;-9999;694585.14;239759.19;-9999;8.68934545;47.30193283;-9999;85030627;2020-02-13 05:55:47;ch:1:sloid:3062;Egg;100027;46;FB;FB;FB;FB
ch:1:sloid:3062:1:1;3062;85;2019-07-21;2099-12-31;;1;;;160;ch:1:sloid:3062:1;0;0;2694620;1239682;-9999;694619.14;239682.19;-9999;8.68977873;47.30123547;-9999;85030627;2020-02-13 05:55:49;ch:1:sloid:3062;Egg;100027;46;FB;FB;FB;FB
ch:1:sloid:3062:1;3062;85;2019-07-21;2099-12-31;FB S18;;;;;;1;0;;;;;;;;;;85030627;2019-07-24 06:20:44;ch:1:sloid:3062;Egg;100027;46;FB;FB;FB;FB
ch:1:sloid:3070:2:90;3070;85;2019-07-21;2099-12-31;;90;;;278;ch:1:sloid:3070:2;0;0;2695572;1238705;-9999;695571.14;238705.19;-9999;8.70215676;47.2923118;-9999;85030700;2020-02-13 05:56:44;ch:1:sloid:3070;Emmat;100027;46;FB;FB;FB;FB
ch:1:sloid:3070:2:3;3070;85;2019-07-21;2099-12-31;;3;;;100;ch:1:sloid:3070:2;0;0;2695576;1238716;-9999;695575.14;238716.19;-9999;8.70221197;47.29241015;-9999;85030700;2020-02-13 05:56:42;ch:1:sloid:3070;Emmat;100027;46;FB;FB;FB;FB
ch:1:sloid:3070:1:1;3070;85;2019-07-21;2099-12-31;;1;;;100;ch:1:sloid:3070:1;0;0;2695576;1238716;-9999;695575.14;238716.19;-9999;8.70221197;47.29241015;-9999;85030700;2020-02-13 05:56:38;ch:1:sloid:3070;Emmat;100027;46;FB;FB;FB;FB
ch:1:sloid:3070:2:91;3070;85;2019-07-21;2099-12-31;;91;;;94;ch:1:sloid:3070:2;0;0;2695591;1238703;-9999;695590.14;238703.19;-9999;8.70240748;47.29229106;-9999;85030700;2020-02-13 05:56:47;ch:1:sloid:3070;Emmat;100027;46;FB;FB;FB;FB
ch:1:sloid:3070:2:2;3070;85;2019-07-21;2099-12-31;;2;;;284;ch:1:sloid:3070:2;0;0;2695497;1238721;-9999;695496.14;238721.18;-9999;8.70116878;47.29246655;-9999;85030700;2020-02-13 05:56:40;ch:1:sloid:3070;Emmat;100027;46;FB;FB;FB;FB
ch:1:sloid:3070:1:0;3070;85;2019-07-21;2099-12-31;;0;;;284;ch:1:sloid:3070:1;0;0;2695497;1238721;-9999;695496.14;238721.18;-9999;8.70116878;47.29246655;-9999;85030700;2020-02-13 05:56:35;ch:1:sloid:3070;Emmat;100027;46;FB;FB;FB;FB
ch:1:sloid:3070:2;3070;85;2019-07-21;2099-12-31;Bahnersatz;;;;;;1;0;;;;;;;;;;85030700;2019-07-24 06:20:56;ch:1:sloid:3070;Emmat;100027;46;FB;FB;FB;FB
ch:1:sloid:3070:1;3070;85;2019-07-21;2099-12-31;FB S18;;;;;;1;0;;;;;;;;;;85030700;2019-07-24 06:20:55;ch:1:sloid:3070;Emmat;100027;46;FB;FB;FB;FB
ch:1:sloid:3061:2:3;3061;85;2019-07-21;2099-12-31;;3;;;140;ch:1:sloid:3061:2;0;0;2695003;1239080;-9999;695002.14;239080.19;-9999;8.69471482;47.29576646;-9999;85030619;2020-02-13 05:55:39;ch:1:sloid:3061;Langwies ZH;100027;46;FB;FB;FB;FB
ch:1:sloid:3061:2:2;3061;85;2019-07-21;2099-12-31;;2;;;315;ch:1:sloid:3061:2;0;0;2694952;1239132;-9999;694951.14;239132.19;-9999;8.69405163;47.29624145;-9999;85030619;2020-02-13 05:55:37;ch:1:sloid:3061;Langwies ZH;100027;46;FB;FB;FB;FB
ch:1:sloid:3061:1:1;3061;85;2019-07-21;2099-12-31;;1;;;140;ch:1:sloid:3061:1;0;0;2695003;1239080;-9999;695002.14;239080.19;-9999;8.69471482;47.29576646;-9999;85030619;2020-02-13 05:55:35;ch:1:sloid:3061;Langwies ZH;100027;46;FB;FB;FB;FB
ch:1:sloid:3061:2:91;3061;85;2019-07-21;2099-12-31;;91;;;133;ch:1:sloid:3061:2;0;0;2694974;1239104;-9999;694973.14;239104.19;-9999;8.69433654;47.29598647;-9999;85030619;2020-02-13 05:55:44;ch:1:sloid:3061;Langwies ZH;100027;46;FB;FB;FB;FB
ch:1:sloid:3061:2:90;3061;85;2019-07-21;2099-12-31;;90;;;318;ch:1:sloid:3061:2;0;0;2694941;1239138;-9999;694940.14;239138.19;-9999;8.69390749;47.29629699;-9999;85030619;2020-02-13 05:55:42;ch:1:sloid:3061;Langwies ZH;100027;46;FB;FB;FB;FB
ch:1:sloid:3061:1:0;3061;85;2019-07-21;2099-12-31;;0;;;315;ch:1:sloid:3061:1;0;0;2694952;1239132;-9999;694951.14;239132.19;-9999;8.69405163;47.29624145;-9999;85030619;2020-02-13 05:55:32;ch:1:sloid:3061;Langwies ZH;100027;46;FB;FB;FB;FB
ch:1:sloid:3061:2;3061;85;2019-07-21;2099-12-31;Bahnersatz;;;;;;1;0;;;;;;;;;;85030619;2019-07-24 06:20:42;ch:1:sloid:3061;Langwies ZH;100027;46;FB;FB;FB;FB
ch:1:sloid:3061:1;3061;85;2019-07-21;2099-12-31;FB S18;;;;;;1;0;;;;;;;;;;85030619;2019-07-24 06:20:40;ch:1:sloid:3061;Langwies ZH;100027;46;FB;FB;FB;FB
ch:1:sloid:3170:1:51;3170;85;2019-07-21;2099-12-31;;51;;16;30;ch:1:sloid:3170:1;0;0;2696792;1239202;-9999;696791.14;239202.2;-9999;8.71839034;47.29660363;-9999;85031708;2020-02-13 06:00:06;ch:1:sloid:3170;Esslingen, Lieburg;100637;838;VZO;VZO;VZO;VZO
ch:1:sloid:3170:1:50;3170;85;2019-07-21;2099-12-31;;50;;16;217;ch:1:sloid:3170:1;0;0;2696715;1239123;-9999;696714.14;239123.2;-9999;8.71735543;47.29590445;-9999;85031708;2020-02-13 06:00:04;ch:1:sloid:3170;Esslingen, Lieburg;100637;838;VZO;VZO;VZO;VZO
